	-1		
http://ilovearese.altervista.org/chiesa-s-carlo-e-immacolata.php	0	200	
http://italia.indettaglio.it/ita/lombardia/milano_bollate_castellazzo.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_bollate_castellazzo.html
http://italia.indettaglio.it/ita/lombardia/como_cernobbio_piazzasantostefano.html	0	301	https://italia.indettaglio.it/ita/lombardia/como_cernobbio_piazzasantostefano.html
http://italia.indettaglio.it/ita/lombardia/como_geralario_stallonevenini.html	0	301	https://italia.indettaglio.it/ita/lombardia/como_geralario_stallonevenini.html
http://gustolab.net/	6		
http://italia.indettaglio.it/ita/lombardia/milano_cisliano_sanpietro.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_cisliano_sanpietro.html
http://italia.indettaglio.it/ita/lombardia/milano_bollate_viatrento.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_bollate_viatrento.html
http://italia.indettaglio.it/ita/lombardia/milano_bollate_ospiate.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_bollate_ospiate.html
http://italia.indettaglio.it/ita/lombardia/milano_cisliano_bestazzo.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_cisliano_bestazzo.html
http://italia.indettaglio.it/ita/lombardia/milano_cusago_cascinacusagodisotto.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_cusago_cascinacusagodisotto.html
http://italia.indettaglio.it/ita/lombardia/milano_cisliano_scanna.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_cisliano_scanna.html
http://italia.indettaglio.it/ita/lombardia/milano_cormano_mangiagalli.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_cormano_mangiagalli.html
http://italia.indettaglio.it/ita/lombardia/milano_cormano_molinazzo.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_cormano_molinazzo.html
http://italia.indettaglio.it/ita/lombardia/milano_nerviano_santilariomilanese.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_nerviano_santilariomilanese.html
http://italia.indettaglio.it/ita/lombardia/milano_cusago_monzoro.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_cusago_monzoro.html
http://italia.indettaglio.it/ita/lombardia/milano_gaggiano_bonirola.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_gaggiano_bonirola.html
http://italia.indettaglio.it/ita/lombardia/milano_garbagnatemilanese_villaggiogarbagnate.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_garbagnatemilanese_villaggiogarbagnate.html
http://italia.indettaglio.it/ita/lombardia/milano_nerviano_villanova.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_nerviano_villanova.html
http://italia.indettaglio.it/ita/lombardia/milano_pioltello_rugacesio.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_pioltello_rugacesio.html
http://italia.indettaglio.it/ita/lombardia/milano_noviglio_tainate.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_noviglio_tainate.html
http://italia.indettaglio.it/ita/lombardia/milano_pregnanamilanese_cascinafabriziana.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_pregnanamilanese_cascinafabriziana.html
http://italia.indettaglio.it/ita/lombardia/milano_rho_cascinabruciata.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_rho_cascinabruciata.html
http://italia.indettaglio.it/ita/lombardia/milano_pregnanamilanese_serbelloni.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_pregnanamilanese_serbelloni.html
http://italia.indettaglio.it/ita/lombardia/milano_pregnanamilanese_santelenacecchetti.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_pregnanamilanese_santelenacecchetti.html
http://italia.indettaglio.it/ita/lombardia/milano_rescaldina_rescalda.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_rescaldina_rescalda.html
http://italia.indettaglio.it/ita/lombardia/milano_robecchettoconinduno_cascinainduno.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_robecchettoconinduno_cascinainduno.html
http://italia.indettaglio.it/ita/lombardia/milano_rho_cascinaghisolfa.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_rho_cascinaghisolfa.html
http://italia.indettaglio.it/ita/lombardia/milano_senago_cascinabrodolini.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_senago_cascinabrodolini.html
http://italia.indettaglio.it/ita/lombardia/milano_rodano_millepini.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_rodano_millepini.html
http://italia.indettaglio.it/ita/lombardia/milano_senago_cascinasangiuseppe.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_senago_cascinasangiuseppe.html
http://italia.indettaglio.it/ita/lombardia/milano_settimomilanese_vighignolo.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_settimomilanese_vighignolo.html
http://italia.indettaglio.it/ita/lombardia/milano_solaro_introini.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_solaro_introini.html
http://italia.indettaglio.it/ita/lombardia/milano_senago_cascinatraversagna.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_senago_cascinatraversagna.html
http://italia.indettaglio.it/ita/lombardia/misinto.html	0	301	https://italia.indettaglio.it/ita/lombardia/misinto.html
http://italia.indettaglio.it/ita/lombardia/milano_zibidosangiacomo_moirago.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_zibidosangiacomo_moirago.html
http://italia.indettaglio.it/ita/lombardia/milano_zibidosangiacomo_sanpietrocusico.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_zibidosangiacomo_sanpietrocusico.html
http://italia.indettaglio.it/ita/lombardia/milano_vanzago_valdarenne.html	0	301	https://italia.indettaglio.it/ita/lombardia/milano_vanzago_valdarenne.html
http://italia.indettaglio.it/ita/lombardia/monzaedellabrianza_limbiate_chaletdellaghetto.html	0	301	https://italia.indettaglio.it/ita/lombardia/monzaedellabrianza_limbiate_chaletdellaghetto.html
http://italia.indettaglio.it/ita/lombardia/monzaedellabrianza_misinto_cascinanuova.html	0	301	https://italia.indettaglio.it/ita/lombardia/monzaedellabrianza_misinto_cascinanuova.html
http://italia.indettaglio.it/ita/lombardia/monzaedellabrianza_limbiate_villaggiodeigiovi.html	0	301	https://italia.indettaglio.it/ita/lombardia/monzaedellabrianza_limbiate_villaggiodeigiovi.html
http://italia.indettaglio.it/ita/lombardia/monzaedellabrianza_varedo_valera.html	0	301	https://italia.indettaglio.it/ita/lombardia/monzaedellabrianza_varedo_valera.html
http://italia.indettaglio.it/ita/lombardia/monzaedellabrianza_limbiate_fornacedellacroce.html	0	301	https://italia.indettaglio.it/ita/lombardia/monzaedellabrianza_limbiate_fornacedellacroce.html
http://italia.indettaglio.it/ita/lombardia/pavia_torrevecchiapia_cascinacolombara.html	0	301	https://italia.indettaglio.it/ita/lombardia/pavia_torrevecchiapia_cascinacolombara.html
http://italia.indettaglio.it/ita/lombardia/sondrio_campodolcino_mottala.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_campodolcino_mottala.html
http://italia.indettaglio.it/ita/lombardia/sondrio_campodolcino_mottadisotto.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_campodolcino_mottadisotto.html
http://italia.indettaglio.it/ita/lombardia/sondrio_campodolcino_splughetta.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_campodolcino_splughetta.html
http://italia.indettaglio.it/ita/lombardia/sondrio_campodolcino_gualdera.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_campodolcino_gualdera.html
http://italia.indettaglio.it/ita/lombardia/sondrio_chiavenna_uschione.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_chiavenna_uschione.html
http://italia.indettaglio.it/ita/lombardia/sondrio_chiavenna_bette.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_chiavenna_bette.html
http://italia.indettaglio.it/ita/lombardia/sondrio_gordona_bedolina.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_gordona_bedolina.html
http://italia.indettaglio.it/ita/lombardia/sondrio_campodolcino_starleggia.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_campodolcino_starleggia.html
http://italia.indettaglio.it/ita/lombardia/sondrio_gordona_bodengo.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_gordona_bodengo.html
http://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_mottaletta.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_mottaletta.html
http://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_montespluga.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_montespluga.html
http://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_isola.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_isola.html
http://italia.indettaglio.it/ita/lombardia/sondrio_gordona_castanedi.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_gordona_castanedi.html
http://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_rasdeglia.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_rasdeglia.html
http://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_stuetta.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_stuetta.html
http://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_pianazzo.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_pianazzo.html
http://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_scalcoggia.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_madesimo_scalcoggia.html
http://italia.indettaglio.it/ita/lombardia/sondrio_novatemezzola_codera.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_novatemezzola_codera.html
http://italia.indettaglio.it/ita/lombardia/sondrio_pratacamportaccio_sancassiano.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_pratacamportaccio_sancassiano.html
http://italia.indettaglio.it/ita/lombardia/sondrio_pratacamportaccio_porrettinaalta.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_pratacamportaccio_porrettinaalta.html
http://italia.indettaglio.it/ita/lombardia/sondrio_pratacamportaccio_porrettinabassa.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_pratacamportaccio_porrettinabassa.html
http://italia.indettaglio.it/ita/lombardia/sondrio_sangiacomofilippo_mottasanguglielmo.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_sangiacomofilippo_mottasanguglielmo.html
http://italia.indettaglio.it/ita/lombardia/sondrio_sangiacomofilippo_olmo.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_sangiacomofilippo_olmo.html
http://italia.indettaglio.it/ita/lombardia/sondrio_sangiacomofilippo_santantonioalbareda.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_sangiacomofilippo_santantonioalbareda.html
http://italia.indettaglio.it/ita/lombardia/sondrio_samolaco_pontenave.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_samolaco_pontenave.html
http://italia.indettaglio.it/ita/lombardia/sondrio_sangiacomofilippo_sommarovina.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_sangiacomofilippo_sommarovina.html
http://italia.indettaglio.it/ita/lombardia/sondrio_sangiacomofilippo_vho.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_sangiacomofilippo_vho.html
http://italia.indettaglio.it/ita/lombardia/sondrio_valdidentro_turripiano.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_valdidentro_turripiano.html
http://italia.indettaglio.it/ita/lombardia/sondrio_valdidentro_pedenosso.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_valdidentro_pedenosso.html
http://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_dogana.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_dogana.html
http://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_canete.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_canete.html
http://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_chete.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_chete.html
http://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_giavera.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_giavera.html
http://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_sanbarnaba.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_sanbarnaba.html
http://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_piandellaca.html	0	301	https://italia.indettaglio.it/ita/lombardia/sondrio_villadichiavenna_piandellaca.html
http://italia.indettaglio.it/ita/lombardia/torrevecchiapia.html	0	301	https://italia.indettaglio.it/ita/lombardia/torrevecchiapia.html
http://italia.indettaglio.it/ita/lombardia/trezzone.html	0	301	https://italia.indettaglio.it/ita/lombardia/trezzone.html
http://italia.indettaglio.it/ita/lombardia/varese_origgio_cascinabroggio.html	0	301	https://italia.indettaglio.it/ita/lombardia/varese_origgio_cascinabroggio.html
http://italia.indettaglio.it/ita/lombardia/varese_origgio_villaregina.html	0	301	https://italia.indettaglio.it/ita/lombardia/varese_origgio_villaregina.html
http://italia.indettaglio.it/ita/lombardia/varese_saronno_campodeifiori.html	0	301	https://italia.indettaglio.it/ita/lombardia/varese_saronno_campodeifiori.html
http://italia.indettaglio.it/ita/lombardia/varese_sommalombardo_casenuove.html	0	301	https://italia.indettaglio.it/ita/lombardia/varese_sommalombardo_casenuove.html
http://italia.indettaglio.it/ita/lombardia/varese_uboldo_cascinaregusella.html	0	301	https://italia.indettaglio.it/ita/lombardia/varese_uboldo_cascinaregusella.html
http://labarcadisalvo.com/	6		
http://kartodromofranciacorta.yolasite.com/	0	403	
http://italia.indettaglio.it/ita/lombardia/vigevano.html	0	301	https://italia.indettaglio.it/ita/lombardia/vigevano.html
http://italia.indettaglio.it/ita/lombardia/zibidosangiacomo.html	0	301	https://italia.indettaglio.it/ita/lombardia/zibidosangiacomo.html
http://larioclimb.paolo-sonja.net/falesie_lecco/discoteca/index.html	0	301	https://larioclimb.paolo-sonja.net/falesie_lecco/discoteca/index.html
http://laprimulabianca.blogspot.it/	0	302	http://laprimulabianca.blogspot.com/
http://labellezzadicleopatra.it	6		
http://larioclimb.paolo-sonja.net/falesie_lecco/varenna/index.html	0	301	https://larioclimb.paolo-sonja.net/falesie_lecco/varenna/index.html
http://latterraggio.it/	0	301	https://www.latterraggio.it/
http://lg-marmi.com	6		
http://liceoterragni.gov.it/	6		
http://labottegadivittorio.com	0	200	
http://lecco.biblioteche.it/library/Missaglia/	0	200	
http://lecco.biblioteche.it/library/Lomagna/	0	200	
http://lineservizi.it	0	301	https://starmobility.it/
http://lnx.agriturismoacquaesole.it/	0	500	
http://lionhostel.it	0	301	https://lionhostel.it/
http://lombardia.stelviopark.it/portfolio/items/area-faunistica-di-pezzo/	0	301	https://lombardia.stelviopark.it/portfolio/items/area-faunistica-di-pezzo/
http://lonatospa.it/	0	200	
http://martellifood.it/	0	301	http://www.martellifood.it/
http://masmetano.com/	0	200	
http://mercatodelsuffragio.it	0	200	
http://lnx.beautypointcomo.it	0	200	
http://mgm-alimentari.it/	0	301	https://www.mgm-alimentari.it/
http://mi-ramenbistro.it/	0	200	
http://milano.czechcentres.cz/	0	301	https://milano.czechcentres.cz/
http://milano.cavalliclub.com/	0	301	https://milano.cavalliclub.com/
http://nervianostore.it/	6		
http://oasileno.it	6		
http://oldamericacomo.it	0	302	https://www.oldamericacomo.it/
http://museoarcheologicogavardo.it	0	200	
http://opac.provincia.brescia.it/library/solarolo-rainerio/	0	301	https://opac.provincia.brescia.it/library/solarolo-rainerio/
http://oldmilanohouse.it	0	301	https://oldmilanohouse.it/
http://osterialatela.it	0	301	https://osterialatela.it/
http://otticafbl.it/	0	301	https://otticafbl.it/
http://pasticceriaparabiago.it	6		
http://outletdeisogni.it/	6		
http://pavia.autoguidovie.it	0	301	https://pavia.autoguidovie.it/
http://pavonianacalcio.it/	0	200	
http://pizzeriacookwindow-milano.it/	0	301	https://pizzeriacookwindow-milano.it/
http://pizzerialaterrazza.com	0	405	
http://pizzeriarunningclub.it/	0	301	https://pizzeriarunningclub.it/
http://podavini.it/	0	200	
http://qr.w69b.com/g/r0njfQ9K8	0	301	https://qr.w69b.com:443/g/r0njfQ9K8
http://puntofermo.net	0	301	http://www.puntofermo.net/
http://retrobottega.net/	0	301	https://www.retrobottega.net/
http://rickybici.wix.com/rickybici	0	301	https://rickybici.wix.com:443/rickybici
http://relaxtimecanegrate.com	0	301	https://relaxtimecanegrate.com/
http://rifugiodeglielfi.it/	6		
http://rifugiognutti.it/	0	302	http://rifugiognutti.it/home-en/
http://rifugiomenaggio.eu	0	301	https://rifugiomenaggio.eu/
http://ristorantelaforchetta.it	0	301	https://ristorantelaforchetta.it/
http://ristorantenepalese.it	6		
http://ristorantepreziosilla.it/#	0	301	https://ristorantepreziosilla.it/
http://ristoranti.travelitalia.com/	0	403	
http://santoni.com	0	200	
http://sayu.jp	6		
http://scavitordeipaga.blogspot.it/	0	302	http://scavitordeipaga.blogspot.com/
http://lnx.ristorante-elisir.it	28		
http://scodinzoloonlus.it/	6		
http://scoutarese1.altervista.org/	0	403	
http://scuolamanidiforbici.com	6		
http://sit.provincia.brescia.it/	0	307	https://sit.provincia.brescia.it:443/
http://scuole.comune.braone.bs.it/	6		
http://sottoglio.eabu.com	0	301	https://sottoglio.eabu.com/
http://siti.voli.bs.it/gian/	0	404	
http://stellapub.com	0	301	https://stellapub.com/
http://sportgroup.it/	0	200	
http://thealley.it	6		
http://theclubprive.it/desenzano/	6		
http://themarketplace.it	0	200	
http://trattoriacomo.com/	6		
http://ticor.it	0	301	https://ticor.it/
http://osterialagrotta.it	28		
http://universitasysei.blogspot.it/	0	302	http://universitasysei.blogspot.com/
http://unmondodisapori.it	0	301	http://www.unmondodisapori.it/
http://v6como.it	0	302	https://www.v6como.it
http://valcofotoottica.it/	6		
http://unionefemminile.it/	0	301	https://unionefemminile.it/
http://vecchio800.blogspot.it/	0	302	http://vecchio800.blogspot.com/
http://trattoriasanmartino.it/	0	200	
http://villapace.org	6		
http://veterinariocaglieri.it/	6		
http://vergaselezione.it	0	200	
http://wiki.openstreetmap.org/wiki/Campo_dei_Fiori	0	301	https://wiki.openstreetmap.org/wiki/Campo_dei_Fiori
http://webopac.csbno.net/library/Cerro/	0	403	
http://www.acutofarmacia.it/la-farmacia-acuto-brescia	6		
http://www.accapalace.com	0	301	https://aahotels.it/hotels/accapalace/index.html
http://www.accademialascala.it	0	301	https://www.accademialascala.it/
http://www.aeroclubcomo.com	0	301	https://www.aeroclubcomo.com/
http://www.adirho.org/	0	200	
http://www.affrescomn.it/	6		
http://rifugionicola.com	28		
http://www.aeroclubmilano.it/	0	307	https://www.aeroclubmilano.it/
http://www.agricolalunapiena.com/	6		
http://www.agrirosadeiventi.it/	6		
http://www.afabi.it	0	301	https://www.afabi.it//
http://www.agriturismo.biosio.it/il-frantoio-oleario-della-valsassina-sul-lago-di-como/	6		
http://www.agriturismo.biosio.it	6		
http://www.agedomilano.it/	0	301	https://www.agedomilano.it/
http://www.agriturismoalcalanc.it/	6		
http://www.afterline.it/	0	200	
http://www.agriturismocasinetto.it/	0	200	
http://www.agriturismocorneidanadia.com/	0	200	
http://www.agriturismodossobadino.it/	0	200	
http://www.agriturismoforest.com/	6		
http://www.agriturismolaconta.it/index.html	6		
http://www.agriturismolagriglia.it/	6		
http://www.agriturismolasacca.it/	0	301	https://www.agriturismolasacca.it/
http://www.agriturismolepreseglie.com	0	302	http://www.lepreseglie.com/
http://www.agriturismonai.it/	6		
http://www.agriturismooliveto.com	0	200	
http://www.agroforestale.villacarcina.org/	0	200	
http://www.aironealbergo.it/	6		
http://www.airuccedintornionlus.altervista.org/	6		
http://www.aisbrescia.it/	0	301	https://www.aislombardia.it/delegazione-ais-brescia.htm
http://www.albergodelduca.it/	0	301	https://www.albergodelduca.it/
http://www.albergomaccagno.it	6		
http://www.albergolafabbrica.it/	6		
http://www.albergoventurelli.it/	6		
http://www.albergosorgente.it/	0	200	
http://www.albuongusto.com/hostaria/	0	404	
http://www.agriturismobel.com/	7		
http://www.aldocoppola.it/	0	200	
http://www.alicepizza.it/puntivendita/alice-spallanzani/	0	301	https://www.alicepizza.it/puntivendita/alice-spallanzani/
http://www.almiralago.it/	6		
http://www.alciliegio.com	0	200	
http://www.alexandrastay.com	0	200	
http://www.alnumero5.it/	0	200	
http://www.altefrequenze.com	6		
http://www.alpstation.it/AlpstationDettaglio.aspx?id=alpstation	0	302	https://www.alpstation.it/AlpstationDettaglio.aspx?id=alpstation
http://www.altopianocariadeghe.it/	6		
http://www.altorchiotignale.it/	0	301	https://www.altorchiotignale.it/
http://www.altempiodoro.it	0	200	
http://www.alvolopavia.com	6		
http://www.americana100.com	0	405	
http://www.amgasport.it/i-nostri-impianti/impianto-di-parabiago/il-centro	0	302	https://www.amgasport.it/i-nostri-impianti/impianto-di-parabiago/il-centro
http://www.amicidellanaturasaviore.org/	0	301	https://www.amicidellanaturasaviore.org/
http://www.agriturismodazze.com/	28		
http://www.alpinimazzano.it/	0	200	
http://www.amicidisanglisente.it/	6		
http://www.amunisex.com	6		
http://www.aneibrescia.org/	6		
http://www.amicidellartesanteufemia.it/via-lucis/presentazione	0	301	https://www.amicidellartesanteufemia.it/via-lucis-sant-eufemia/presentazione/
http://www.angolodellatradizione.it	6		
http://www.anticaosteriapace.it/	6		
http://www.antoniettiseo.gov.it/	6		
http://www.anticatrattoriamiravalle.it/index.html	0	404	
http://www.apicolturasampi.it/	0	200	
http://www.aquafresca.info/	0	301	https://www.aquafresca.info/
http://www.aochiari.it/	0	200	
http://www.arcibellezza.it/	0	301	https://www.arcibellezza.it/
http://www.archiviodistatobrescia.beniculturali.it/	0	301	https://archiviodistatobrescia.cultura.gov.it/
http://www.arcigaymilano.org	0	301	https://www.arcigaymilano.org/
http://www.arcierideldrago.it/site/?page_id=46	0	200	
http://www.arcilesbica.it/milano/	0	301	https://www.arcilesbica.it/milano/
http://www.arcimilano.it/circoli/circolo/villa-cortese	0	301	https://www.arcimilano.it/circoli/circolo/villa-cortese
http://www.arcumeggia.it/index.php?section=1	0	200	
http://www.alvisconte.com/	0	301	https://expireddomains.com/domain/alvisconte.com
http://www.arepaz.it	0	200	
http://www.asdilmosaico.it/	0	200	
http://www.asamilano30.org	0	200	
